circuitId,season,round,session,full_throttle_share,top_speed_kph
madring,2026,14,Q,0.543,334.0
monza,2026,13,Q,0.7841,342.0
zandvoort,2026,12,Q,0.535,316.0
hungaroring,2026,11,Q,0.4638,331.0
spa,2026,10,Q,0.7063,336.0
silverstone,2026,9,Q,0.6644,317.0
red_bull_ring,2026,8,Q,0.6075,329.0
catalunya,2026,7,Q,0.5944,341.0
monaco,2026,6,Q,0.3708,289.0
villeneuve,2026,5,Q,0.6057,332.0
miami,2026,4,Q,0.5304,343.0
suzuka,2026,3,Q,0.6754,321.0
shanghai,2026,2,Q,0.5645,332.0
albert_park,2026,1,Q,0.6272,327.0
yas_marina,2025,24,Q,0.6619,331.0
losail,2025,23,Q,0.6841,327.0
vegas,2025,22,Q,0.4745,331.0
interlagos,2025,21,Q,0.5845,336.0
rodriguez,2025,20,Q,0.4886,351.0
americas,2025,19,Q,0.5872,324.0
marina_bay,2025,18,Q,0.5263,316.0
baku,2025,17,Q,0.6105,339.0
monza,2025,16,Q,0.7803,348.0
zandvoort,2025,15,Q,0.5738,326.0
hungaroring,2025,14,Q,0.5464,318.0
spa,2025,13,Q,0.6822,339.0
silverstone,2025,12,Q,0.6796,324.0
red_bull_ring,2025,11,Q,0.6823,324.0
villeneuve,2025,10,Q,0.6755,332.0
catalunya,2025,9,Q,0.6395,328.0
monaco,2025,8,Q,0.4338,289.0
imola,2025,7,Q,0.6875,323.0
miami,2025,6,Q,0.6117,340.0
jeddah,2025,5,Q,0.7584,338.0
bahrain,2025,4,Q,0.6022,315.0
suzuka,2025,3,Q,0.6808,325.0
shanghai,2025,2,Q,0.5719,330.0
albert_park,2025,1,Q,0.7104,329.0
yas_marina,2024,24,Q,0.6545,324.0
losail,2024,23,Q,0.7253,324.0
vegas,2024,22,Q,0.6854,347.0
interlagos,2024,21,Q,0.3283,308.0
rodriguez,2024,20,Q,0.4868,349.0
americas,2024,19,Q,0.5941,327.0
marina_bay,2024,18,Q,0.537,313.0
baku,2024,17,Q,0.6076,339.0
imola,2024,7,Q,0.6883,340.0
jeddah,2024,2,Q,0.7671,331.0
bahrain,2024,1,Q,0.6228,319.0
ricard,2022,12,R,0.5751,309.0
istanbul,2021,16,Q,0.6697,321.0
sochi,2021,15,Q,0.5737,296.0
ricard,2021,7,Q,0.6045,329.0
portimao,2021,3,Q,0.5929,319.0
istanbul,2020,14,Q,0.3363,298.0
portimao,2020,12,Q,0.6588,329.0
nurburgring,2020,11,Q,0.5911,321.0
sochi,2020,10,Q,0.6614,333.0
